"","ano","cbo2002","Ocupacao","Vinculos2018","Vinculos2003","Codigo_GG","Grande_Grupo","Diferenca","Variacao"
"100",2018,515110,"atendente de enfermagem",195,147,"5","Serviços e Comércio",48,32.7
"101",2018,241230,"procurador federal",193,2288,"2","Profissionais",-2095,-91.6
"102",2018,223905,"terapeuta ocupacional",189,124,"2","Profissionais",65,52.4
"103",2018,771105,"marceneiro",185,207,"7","Produção e Indústria I",-22,-10.6
"104",2018,142325,"relacoes publicas",181,234,"1","Dirigentes",-53,-22.6
"105",2018,724110,"encanador",176,212,"7","Produção e Indústria I",-36,-17
"106",2018,262405,"artista (artes visuais)",166,247,"2","Profissionais",-81,-32.8
"107",2018,313210,"tecnico de manutencao eletronica (circuitos de maquinas com comando numerico)",164,208,"3","Técnicos",-44,-21.2
"108",2018,314105,"tecnico em mecanica de precisao",159,149,"3","Técnicos",10,6.7
"109",2018,223415,"farmaceutico analista clinico",132,320,"2","Profissionais",-188,-58.8
"110",2018,318015,"desenhista detalhista",130,272,"3","Técnicos",-142,-52.2
"111",2018,710205,"mestre (construcao civil)",122,125,"7","Produção e Indústria I",-3,-2.4
"112",2018,318105,"desenhista tecnico (arquitetura)",113,124,"3","Técnicos",-11,-8.9
"113",2018,414110,"armazenista",111,100,"4","Serviços Administrativos",11,11
"114",2018,517315,"agente de seguranca penitenciaria",109,124,"5","Serviços e Comércio",-15,-12.1
